,p_resolution,p_experiment,p_doi,p_chain_uniprot_map,p_chains,p_pmid,p_ec_numbers,p_space_group,p_deposition_date,p_chemicals
1RII,1.7,X-RAY DIFFRACTION,10.1107/S0907444904033190,"{'A': ['P9WIC9'], 'C': ['P9WIC9'], 'B': ['P9WIC9'], 'D': ['P9WIC9']}","['A', 'C', 'B', 'D']",15735341,"[('A', ['5.4.2.1']), ('C', ['5.4.2.1']), ('B', ['5.4.2.1']), ('D', ['5.4.2.1'])]",P 1 21 1,17-NOV-03,['GOL']
1RJM,2.15,X-RAY DIFFRACTION,,"{'A': ['P9WNP5'], 'C': ['P9WNP5'], 'B': ['P9WNP5']}","['A', 'C', 'B']",,"[('A', ['4.1.3.36']), ('C', ['4.1.3.36']), ('B', ['4.1.3.36'])]",P 43 21 2,19-NOV-03,['EP1']
1RJN,2.3,X-RAY DIFFRACTION,,"{'A': ['P9WNP5'], 'C': ['P9WNP5'], 'B': ['P9WNP5']}","['A', 'C', 'B']",,"[('A', ['4.1.3.36']), ('C', ['4.1.3.36']), ('B', ['4.1.3.36'])]",C 1 2 1,19-NOV-03,"['EP1', 'COA']"
1S4Q,2.16,X-RAY DIFFRACTION,,{'A': ['P9WKE9']},['A'],,"[('A', ['2.7.4.8'])]",I 2 3,16-JAN-04,"['CL', 'FMT']"
1SGV,1.9,X-RAY DIFFRACTION,10.1074/JBC.M401045200,"{'A': ['P9WHP7'], 'B': ['P9WHP7']}","['A', 'B']",15028724,"[('A', ['4.2.1.70']), ('B', ['4.2.1.70'])]",P 1 21 1,24-FEB-04,
1SIX,1.3,X-RAY DIFFRACTION,10.1016/J.JMB.2004.06.028,{'A': ['P9WNS5']},['A'],15276840,"[('A', ['3.6.1.23'])]",P 63,01-MAR-04,"['MG', 'DUP', 'TRS']"
1SJ2,2.41,X-RAY DIFFRACTION,10.1074/JBC.M402382200,"{'A': ['P9WIE5'], 'B': ['P9WIE5']}","['A', 'B']",15231843,"[('A', ['1.11.1.6']), ('B', ['1.11.1.6'])]",P 42 21 2,02-MAR-04,"['GOL', 'HEM']"
1SJN,1.8,X-RAY DIFFRACTION,10.1016/J.JMB.2004.06.028,"{'A': ['P9WNS5'], 'C': ['P9WNS5'], 'B': ['P9WNS5']}","['A', 'C', 'B']",15276840,"[('A', ['3.6.1.23']), ('C', ['3.6.1.23']), ('B', ['3.6.1.23'])]",P 21 21 21,04-MAR-04,"['NO3', 'DUP', 'TRS', 'MG']"
1SLH,3.0,X-RAY DIFFRACTION,10.1016/J.JMB.2004.06.028,"{'A': ['P9WNS5'], 'C': ['P9WNS5'], 'B': ['P9WNS5']}","['A', 'B', 'C']",15276840,"[('A', ['3.6.1.23']), ('B', ['3.6.1.23']), ('C', ['3.6.1.23'])]",P 31 2 1,05-MAR-04,"['MG', 'DUD', 'TRS']"
1SM8,2.9,X-RAY DIFFRACTION,10.1016/J.JMB.2004.06.028,"{'A': ['P9WNS5'], 'C': ['P9WNS5'], 'B': ['P9WNS5']}","['A', 'C', 'B']",15276840,"[('A', ['3.6.1.23']), ('C', ['3.6.1.23']), ('B', ['3.6.1.23'])]",P 21 21 21,08-MAR-04,"['NO3', 'CR', 'TRS', 'DUT']"
1SMC,2.1,X-RAY DIFFRACTION,10.1016/J.JMB.2004.06.028,"{'A': ['P9WNS5'], 'C': ['P9WNS5'], 'B': ['P9WNS5']}","['A', 'C', 'B']",15276840,"[('A', ['3.6.1.23']), ('C', ['3.6.1.23']), ('B', ['3.6.1.23'])]",P 21 21 21,09-MAR-04,"['DUT', 'NO3', 'TRS']"
1SNF,1.85,X-RAY DIFFRACTION,10.1016/J.JMB.2004.06.028,"{'A': ['P9WNS5'], 'C': ['P9WNS5'], 'B': ['P9WNS5']}","['A', 'C', 'B']",15276840,"[('A', ['3.6.1.23']), ('C', ['3.6.1.23']), ('B', ['3.6.1.23'])]",P 21 21 21,10-MAR-04,"['UMP', 'NO3', 'TRS', 'MG']"
1SR9,2.0,X-RAY DIFFRACTION,10.1073/PNAS.0400820101,"{'A': ['P9WQB3'], 'B': ['P9WQB3']}","['A', 'B']",15159544,"[('A', ['2.3.3.13']), ('B', ['2.3.3.13'])]",P 1 21 1,22-MAR-04,"['ZN', 'CL', 'KIV', 'MSE']"
1SXV,1.3,X-RAY DIFFRACTION,,{'A': ['P9WI55']},['A'],,"[('A', ['3.6.1.1'])]",P 63 2 2,31-MAR-04,"['SO4', 'GOL']"
1TFU,1.99,X-RAY DIFFRACTION,10.1110/PS.04816904,{'A': ['P9WPA5']},['A'],15322293,"[('A', ['2.7.7.3'])]",H 3 2,27-MAY-04,
1TPY,2.2,X-RAY DIFFRACTION,,{'A': ['Q79FX6']},['A'],,"[('A', ['2.1.1.79'])]",P 21 21 21,16-JUN-04,"['CO3', 'SAH', '16A']"
1U0R,2.8,X-RAY DIFFRACTION,10.1074/JBC.M406586200,"{'A': ['P9WHV7'], 'C': ['P9WHV7'], 'B': ['P9WHV7'], 'D': ['P9WHV7']}","['A', 'C', 'B', 'D']",15269221,"[('A', ['2.7.1.23']), ('C', ['2.7.1.23']), ('B', ['2.7.1.23']), ('D', ['2.7.1.23'])]",P 43 21 2,14-JUL-04,
1U0T,2.3,X-RAY DIFFRACTION,10.1074/JBC.M406586200,"{'A': ['P9WHV7'], 'B': ['P9WHV7']}","['A', 'B']",15269221,"[('A', ['2.7.1.23']), ('B', ['2.7.1.23'])]",P 21 21 2,14-JUL-04,
1U5H,1.65,X-RAY DIFFRACTION,10.1016/J.JMB.2006.09.086,{'A': ['P9WPE1']},['A'],17064730,"[('A', ['4.1.3.6'])]",H 3 2,27-JUL-04,['FMT']
1U5V,1.85,X-RAY DIFFRACTION,,{'A': ['P9WPE1']},['A'],,"[('A', ['4.1.3.6'])]",H 3 2,28-JUL-04,"['ATP', 'FMT']"
1U6E,1.85,X-RAY DIFFRACTION,10.1016/J.JMB.2004.12.044,"{'A': ['P9WNG3'], 'B': ['P9WNG3']}","['A', 'B']",15713483,"[('A', ['2.3.1.41']), ('B', ['2.3.1.41'])]",P 21 21 21,29-JUL-04,['CL']
1U6S,2.3,X-RAY DIFFRACTION,10.1016/J.JMB.2004.12.044,"{'A': ['P9WNG3'], 'B': ['P9WNG3']}","['A', 'B']",15713483,"[('A', ['2.3.1.41']), ('B', ['2.3.1.41'])]",P 1,30-JUL-04,['DCC']
1U8A,2.15,X-RAY DIFFRACTION,10.1016/J.FEBSLET.2004.08.005,{'A': ['P9WPY3']},['A'],15358538,"[('A', ['2.7.1.71'])]",P 32 2 1,05-AUG-04,"['CL', 'ADP', 'SKM']"
1UPI,1.7,X-RAY DIFFRACTION,10.1107/S0907444904005323,{'A': ['P9WH11']},['A'],15103135,"[('A', ['5.1.3.13'])]",P 32 2 1,05-OCT-03,['CME']
1USL,1.88,X-RAY DIFFRACTION,10.1016/J.JMB.2003.11.021,"{'A': ['P9WKD7'], 'C': ['P9WKD7'], 'B': ['P9WKD7'], 'E': ['P9WKD7'], 'D': ['P9WKD7']}","['A', 'C', 'B', 'D', 'E']",14687575,"[('A', ['5.3.1.6']), ('C', ['5.3.1.6']), ('B', ['5.3.1.6']), ('D', ['5.3.1.6']), ('E', ['5.3.1.6'])]",C 1 2 1,25-NOV-03,['PO4']
1UZL,2.0,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00463-1,"{'A': ['P9WGT3'], 'B': ['P9WGT3']}","['A', 'B']",12079383,"[('A', ['1.1.1.100']), ('B', ['1.1.1.100'])]",C 1 2 1,14-MAR-04,['CS']
1UZM,1.49,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00463-1,"{'A': ['P9WGT3'], 'B': ['P9WGT3']}","['A', 'B']",12079383,"[('A', ['1.1.1.100']), ('B', ['1.1.1.100'])]",C 1 2 1,14-MAR-04,['CS']
1UZN,1.91,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00463-1,"{'A': ['P9WGT3'], 'B': ['P9WGT3']}","['A', 'B']",12079383,"[('A', ['1.1.1.100']), ('B', ['1.1.1.100'])]",C 1 2 1,14-MAR-04,"['CS', 'NAP']"
1UZR,2.2,X-RAY DIFFRACTION,10.1016/J.FEBSLET.2004.05.059,"{'A': ['P9WH71'], 'C': ['P9WH71'], 'B': ['P9WH71']}","['A', 'C', 'B']",15225619,"[('A', ['1.17.4.1']), ('C', ['1.17.4.1']), ('B', ['1.17.4.1'])]",P 42 21 2,15-MAR-04,"['GOL', 'FE', 'CIT']"
1V0J,2.25,X-RAY DIFFRACTION,10.1016/J.JMB.2005.02.057,"{'A': ['P9WIQ1'], 'C': ['P9WIQ1'], 'B': ['P9WIQ1'], 'D': ['P9WIQ1']}","['A', 'B', 'C', 'D']",15843027,"[('A', ['5.4.99.9']), ('B', ['5.4.99.9']), ('C', ['5.4.99.9']), ('D', ['5.4.99.9'])]",P 21 21 2,30-MAR-04,"['BCN', 'FAD']"
1W0D,1.65,X-RAY DIFFRACTION,10.1016/J.JMB.2004.11.059,"{'A': ['P9WKK9'], 'C': ['P9WKK9'], 'B': ['P9WKK9'], 'D': ['P9WKK9']}","['A', 'C', 'B', 'D']",15663922,"[('A', ['1.1.1.85']), ('C', ['1.1.1.85']), ('B', ['1.1.1.85']), ('D', ['1.1.1.85'])]",P 21 21 21,03-JUN-04,['SO4']
1W19,2.0,X-RAY DIFFRACTION,10.1021/BI047848A,"{'A': ['P9WHE9'], 'C': ['P9WHE9'], 'B': ['P9WHE9'], 'E': ['P9WHE9'], 'D': ['P9WHE9']}","['A', 'C', 'B', 'E', 'D']",15723519,"[('A', ['2.5.1.9']), ('C', ['2.5.1.9']), ('B', ['2.5.1.9']), ('E', ['2.5.1.9']), ('D', ['2.5.1.9'])]",C 1 2 1,18-JUN-04,"['T4P', 'ACY', 'DTV', 'DTU', 'T2P', 'T5P', 'K', 'D1D', 'T1P']"
1W29,2.3,X-RAY DIFFRACTION,10.1021/BI047848A,"{'A': ['P9WHE9'], 'C': ['P9WHE9'], 'B': ['P9WHE9'], 'E': ['P9WHE9'], 'D': ['P9WHE9']}","['A', 'C', 'B', 'E', 'D']",15723519,"[('A', ['2.5.1.9']), ('C', ['2.5.1.9']), ('B', ['2.5.1.9']), ('E', ['2.5.1.9']), ('D', ['2.5.1.9'])]",C 1 2 1,01-JUL-04,"['ACY', 'K', 'D1D', 'TS0', 'TS1']"
1W2G,2.1,X-RAY DIFFRACTION,10.1021/BI0484163,"{'A': ['P9WKE1'], 'B': ['P9WKE1']}","['A', 'B']",15628853,"[('A', ['2.7.4.9']), ('B', ['2.7.4.9'])]",P 31 2 1,06-JUL-04,"['ACT', 'THM']"
1W2H,2.0,X-RAY DIFFRACTION,10.1021/BI0484163,"{'A': ['P9WKE1'], 'B': ['P9WKE1']}","['A', 'B']",15628853,"[('A', ['2.7.4.9']), ('B', ['2.7.4.9'])]",P 31 2 1,06-JUL-04,"['ATM', 'ACT']"
1WCF,1.54,X-RAY DIFFRACTION,10.1107/S1744309111023323,{'A': ['P9WI55']},['A'],21821883,"[('A', ['3.6.1.1'])]",P 63 2 2,13-NOV-04,"['PO4', 'K']"
1WE2,2.3,X-RAY DIFFRACTION,10.1107/S090744490402517X,{'A': ['P9WPY3']},['A'],15583379,"[('A', ['2.7.1.71'])]",P 32 2 1,22-MAY-04,"['MG', 'CL', 'ADP', 'DHK']"
1XDI,2.81,X-RAY DIFFRACTION,10.1074/JBC.M410704200,"{'A': ['P9WHH7'], 'B': ['P9WHH7']}","['A', 'B']",15456792,,H 3 2,06-SEP-04,['FAD']
1XFC,1.9,X-RAY DIFFRACTION,10.1021/BI0486583,"{'A': ['P9WQA9'], 'B': ['P9WQA9']}","['A', 'B']",15683232,"[('A', ['5.1.1.1']), ('B', ['5.1.1.1'])]",P 41 21 2,14-SEP-04,['PLP']
1XXX,2.28,X-RAY DIFFRACTION,10.1042/BJ20071360,"{'A': ['P9WP25'], 'C': ['P9WP25'], 'B': ['P9WP25'], 'E': ['P9WP25'], 'D': ['P9WP25'], 'G': ['P9WP25'], 'F': ['P9WP25'], 'H': ['P9WP25']}","['F', 'A', 'C', 'B', 'E', 'D', 'G', 'H']",18062777,"[('F', ['4.2.1.52']), ('A', ['4.2.1.52']), ('C', ['4.2.1.52']), ('B', ['4.2.1.52']), ('E', ['4.2.1.52']), ('D', ['4.2.1.52']), ('G', ['4.2.1.52']), ('H', ['4.2.1.52'])]",P 1 21 1,09-NOV-04,"['DTT', 'CL', 'MG']"
1Y10,2.3,X-RAY DIFFRACTION,10.1126/SCIENCE.1107642,"{'A': ['P9WMU9'], 'C': ['P9WMU9'], 'B': ['P9WMU9'], 'D': ['P9WMU9']}","['A', 'C', 'B', 'D']",15890882,"[('A', ['4.6.1.1']), ('C', ['4.6.1.1']), ('B', ['4.6.1.1']), ('D', ['4.6.1.1'])]",P 1 21 1,16-NOV-04,"['1PE', 'CA']"
1Y11,3.3,X-RAY DIFFRACTION,10.1126/SCIENCE.1107642,{'A': ['P9WMU9']},['A'],15890882,"[('A', ['4.6.1.1'])]",P 62 2 2,16-NOV-04,"['SO4', 'GOL', '1PE']"
1Y3H,2.8,X-RAY DIFFRACTION,10.1016/J.BBRC.2004.11.163,"{'A': ['P9WHV7'], 'B': ['P9WHV7']}","['A', 'B']",15629142,"[('A', ['2.7.1.23']), ('B', ['2.7.1.23'])]",C 1 2 1,24-NOV-04,
1Y3I,2.6,X-RAY DIFFRACTION,10.1016/J.BBRC.2004.11.163,"{'A': ['P9WHV7'], 'B': ['P9WHV7']}","['B', 'A']",15629142,"[('B', ['2.7.1.23']), ('A', ['2.7.1.23'])]",P 62,25-NOV-04,"['SO4', 'GOL', 'NAD']"
1Y6X,1.25,X-RAY DIFFRACTION,10.1107/S0907444908007105,{'A': ['P9WMM9']},['A'],18560150,"[('A', ['3.6.1.31'])]",I 2 2 2,07-DEC-04,['MSE']
1YGY,2.3,X-RAY DIFFRACTION,10.1074/JBC.M414489200,"{'A': ['P9WNX3'], 'B': ['P9WNX3']}","['A', 'B']",15668249,"[('A', ['1.1.1.95']), ('B', ['1.1.1.95'])]",P 65 2 2,05-JAN-05,['TAR']
1YK3,2.2,X-RAY DIFFRACTION,10.1074/JBC.M413904200,"{'A': ['P9WK15'], 'C': ['P9WK15'], 'B': ['P9WK15'], 'E': ['P9WK15'], 'D': ['P9WK15'], 'G': ['P9WK15'], 'F': ['P9WK15'], 'H': ['P9WK15']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'H']",15695811,,P 21 21 21,16-JAN-05,['BOG']
1YK9,2.7,X-RAY DIFFRACTION,10.1016/J.JMB.2005.12.017,{'A': ['P9WQ35']},['A'],16403515,"[('A', ['4.6.1.1'])]",P 41,17-JAN-05,
1YL5,2.3,X-RAY DIFFRACTION,10.1107/S0907444909043960,"{'A': ['P9WP23'], 'B': ['P9WP23']}","['A', 'B']",20057050,"[('A', ['1.3.1.26']), ('B', ['1.3.1.26'])]",P 21 21 2,19-JAN-05,['MG']
1YL6,2.9,X-RAY DIFFRACTION,10.1107/S0907444909043960,"{'A': ['P9WP23'], 'B': ['P9WP23']}","['A', 'B']",20057050,"[('A', ['1.3.1.26']), ('B', ['1.3.1.26'])]",P 21 21 2,19-JAN-05,['MG']
1YL7,2.34,X-RAY DIFFRACTION,10.1107/S0907444909043960,"{'A': ['P9WP23'], 'C': ['P9WP23'], 'B': ['P9WP23'], 'E': ['P9WP23'], 'D': ['P9WP23'], 'G': ['P9WP23'], 'F': ['P9WP23'], 'H': ['P9WP23']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'H']",20057050,"[('A', ['1.3.1.26']), ('C', ['1.3.1.26']), ('B', ['1.3.1.26']), ('E', ['1.3.1.26']), ('D', ['1.3.1.26']), ('G', ['1.3.1.26']), ('F', ['1.3.1.26']), ('H', ['1.3.1.26'])]",C 1 2 1,19-JAN-05,"['NAI', 'MG']"
1YM3,1.75,X-RAY DIFFRACTION,10.1074/JBC.M414348200,{'A': ['P9WPJ9']},['A'],15753099,"[('A', ['4.2.1.1'])]",P 41 21 2,20-JAN-05,"['ZN', 'MG']"
1Z6K,2.3,X-RAY DIFFRACTION,10.1016/J.JMB.2006.09.086,{'A': ['P9WPE1']},['A'],17064730,"[('A', ['4.1.3.6'])]",H 3 2,22-MAR-05,"['OAA', 'MG', 'MSE']"
1Z8F,2.5,X-RAY DIFFRACTION,,{'A': ['P9WKE9']},['A'],,"[('A', ['2.7.4.8'])]",I 2 3,30-MAR-05,['FMT']
1Z9W,2.5,X-RAY DIFFRACTION,10.1016/J.JMB.2005.03.023,{'A': ['P9WNC5']},['A'],15876368,"[('A', ['4.1.2.25'])]",I 4,05-APR-05,
1ZA0,2.0,X-RAY DIFFRACTION,10.1110/PS.041288005,{'A': ['P9WNZ5']},['A'],15929999,"[('A', ['1.14.19.2'])]",P 65 2 2,05-APR-05,"['MN', 'EDO']"
1ZID,2.7,X-RAY DIFFRACTION,10.1126/SCIENCE.279.5347.98,{'A': ['P9WGR1']},['A'],9417034,"[('A', ['1.3.1.9'])]",P 62 2 2,25-MAR-97,['ZID']
1ZJ8,2.8,X-RAY DIFFRACTION,10.1074/JBC.M502560200,"{'A': ['P9WJ03'], 'B': ['P9WJ03']}","['A', 'B']",15917234,"[('A', ['1.7.7.1']), ('B', ['1.7.7.1'])]",P 21 21 21,28-APR-05,"['CL', 'SRM', 'SF4']"
1ZJ9,2.9,X-RAY DIFFRACTION,10.1074/JBC.M502560200,"{'A': ['P9WJ03'], 'B': ['P9WJ03']}","['A', 'B']",15917234,"[('A', ['1.7.7.1']), ('B', ['1.7.7.1'])]",P 1 21 1,28-APR-05,"['CL', 'SRM', 'SF4']"
1ZNW,2.1,X-RAY DIFFRACTION,10.1002/PROT.20662,{'A': ['P9WKE9']},['A'],16288457,"[('A', ['2.7.4.8'])]",I 2 3,12-MAY-05,
1ZNX,2.35,X-RAY DIFFRACTION,10.1002/PROT.20662,{'A': ['P9WKE9']},['A'],16288457,"[('A', ['2.7.4.8'])]",I 2 3,12-MAY-05,['5GP']
1ZNY,2.3,X-RAY DIFFRACTION,10.1002/PROT.20662,{'A': ['P9WKE9']},['A'],16288457,"[('A', ['2.7.4.8'])]",I 2 3,12-MAY-05,['GDP']
1ZNZ,2.5,X-RAY DIFFRACTION,10.1002/PROT.20662,{'A': ['P9WKE9']},['A'],16288457,"[('A', ['2.7.4.8'])]",I 2 3,12-MAY-05,['GDP']
1ZTB,2.65,X-RAY DIFFRACTION,10.1016/J.JSB.2005.12.008,{'A': ['P9WPY1']},['A'],16459102,"[('A', ['4.2.3.5'])]",P 64 2 2,26-MAY-05,
1ZVW,2.3,X-RAY DIFFRACTION,10.1016/J.JMB.2005.11.016,"{'A': ['P9WFX5'], 'B': ['P9WFX5']}","['A', 'B']",16337227,"[('A', ['2.4.2.18']), ('B', ['2.4.2.18'])]",P 21 21 21,02-JUN-05,"['PRP', 'MG', 'BAM', 'MSE']"
1ZYU,2.9,X-RAY DIFFRACTION,10.1021/BI0606290,{'A': ['P9WPY3']},['A'],16834327,"[('A', ['2.7.1.71'])]",P 31 2 1,11-JUN-05,"['SKM', 'ACP']"
2A2J,2.5,X-RAY DIFFRACTION,10.1002/PROT.20824,"{'A': ['P9WIJ1'], 'B': ['P9WIJ1']}","['A', 'B']",16374842,"[('A', ['1.4.3.5']), ('B', ['1.4.3.5'])]",P 21 21 21,22-JUN-05,['CME']
2A5V,2.2,X-RAY DIFFRACTION,10.1074/JBC.M510756200,"{'A': ['P9WPJ9'], 'C': ['P9WPJ9'], 'B': ['P9WPJ9'], 'D': ['P9WPJ9']}","['A', 'C', 'D', 'B']",16321983,"[('A', ['4.2.1.1']), ('C', ['4.2.1.1']), ('D', ['4.2.1.1']), ('B', ['4.2.1.1'])]",P 1 21 1,01-JUL-05,"['ZN', 'SCN']"
2A7S,2.9,X-RAY DIFFRACTION,10.1073/PNAS.0510580103,"{'A': ['P9WQH7'], 'C': ['P9WQH7'], 'B': ['P9WQH7'], 'E': ['P9WQH7'], 'D': ['P9WQH7'], 'F': ['P9WQH7']}","['A', 'C', 'B', 'F', 'D', 'E']",16492739,"[('A', ['6.4.1.3']), ('C', ['6.4.1.3']), ('B', ['6.4.1.3']), ('F', ['6.4.1.3']), ('D', ['6.4.1.3']), ('E', ['6.4.1.3'])]",P 41 21 2,06-JUL-05,
2A7X,1.7,X-RAY DIFFRACTION,10.1021/BI051873E,{'A': ['P9WIL5']},['A'],16460002,"[('A', ['6.3.2.1'])]",C 1 2 1,06-JUL-05,"['SO4', 'GOL', 'AMP']"
2A84,1.55,X-RAY DIFFRACTION,10.1021/BI051873E,{'A': ['P9WIL5']},['A'],16460002,"[('A', ['6.3.2.1'])]",C 1 2 1,07-JUL-05,"['GOL', 'MG', 'ATP']"
2A86,1.85,X-RAY DIFFRACTION,10.1021/BI051873E,"{'A': ['P9WIL5'], 'B': ['P9WIL5']}","['A', 'B']",16460002,"[('A', ['6.3.2.1']), ('B', ['6.3.2.1'])]",P 1 21 1,07-JUL-05,"['EOH', 'BAL', 'AMP', 'GOL', 'SO4']"
2A87,3.0,X-RAY DIFFRACTION,10.1107/S0907444905030519,"{'A': ['P9WHH1'], 'B': ['P9WHH1']}","['A', 'B']",16301794,"[('A', ['1.8.1.9']), ('B', ['1.8.1.9'])]",P 41 21 2,07-JUL-05,"['FAD', 'MG', 'NAP']"
2A88,1.7,X-RAY DIFFRACTION,10.1021/BI051873E,{'A': ['P9WIL5']},['A'],16460002,"[('A', ['6.3.2.1'])]",C 1 2 1,07-JUL-05,"['SO4', 'GOL']"
2A8X,2.4,X-RAY DIFFRACTION,10.1074/JBC.M507466200,"{'A': ['P9WHH9'], 'B': ['P9WHH9']}","['A', 'B']",16093239,"[('A', ['1.8.1.4']), ('B', ['1.8.1.4'])]",P 21 21 21,10-JUL-05,"['MPD', 'MSE', 'FAD']"
2AF6,2.01,X-RAY DIFFRACTION,10.1016/J.JMB.2005.07.071,"{'A': ['P9WG57'], 'C': ['P9WG57'], 'B': ['P9WG57'], 'E': ['P9WG57'], 'D': ['P9WG57'], 'G': ['P9WG57'], 'F': ['P9WG57'], 'H': ['P9WG57']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'H']",16139296,"[('A', ['2.1.1.148']), ('C', ['2.1.1.148']), ('B', ['2.1.1.148']), ('E', ['2.1.1.148']), ('D', ['2.1.1.148']), ('G', ['2.1.1.148']), ('F', ['2.1.1.148']), ('H', ['2.1.1.148'])]",P 1 21 1,25-JUL-05,"['MSE', 'IOD', 'FAD', 'GOL', 'BRU']"
2AHB,2.0,X-RAY DIFFRACTION,10.1074/JBC.M413216200,"{'A': ['P9WNG3'], 'B': ['P9WNG3']}","['A', 'B']",16040614,"[('A', ['2.3.1.41']), ('B', ['2.3.1.41'])]",C 1 2 1,27-JUL-05,
2AJ9,2.5,X-RAY DIFFRACTION,10.1074/JBC.M413216200,"{'A': ['P9WNG3'], 'B': ['P9WNG3']}","['A', 'B']",16040614,"[('A', ['2.3.1.41']), ('B', ['2.3.1.41'])]",P 1 21 1,01-AUG-05,
2AO2,2.07,X-RAY DIFFRACTION,10.1021/BI0606445,"{'A': ['P9WIB9'], 'C': ['P9WIB9'], 'B': ['P9WIB9']}","['A', 'C', 'B']",16752890,"[('A', ['5.4.99.5']), ('C', ['5.4.99.5']), ('B', ['5.4.99.5'])]",C 1 2 1,12-AUG-05,"['SO4', 'TRP']"
2AP9,2.8,X-RAY DIFFRACTION,,"{'A': ['P9WQ01'], 'C': ['P9WQ01'], 'B': ['P9WQ01'], 'E': ['P9WQ01'], 'D': ['P9WQ01'], 'F': ['P9WQ01']}","['A', 'C', 'B', 'E', 'D', 'F']",,"[('A', ['2.7.2.8']), ('C', ['2.7.2.8']), ('B', ['2.7.2.8']), ('E', ['2.7.2.8']), ('D', ['2.7.2.8']), ('F', ['2.7.2.8'])]",P 21 21 21,15-AUG-05,"['MSE', 'NI', 'MG']"
2AQ8,1.92,X-RAY DIFFRACTION,10.1016/J.JMB.2006.03.055,{'A': ['P9WGR1']},['A'],16647717,"[('A', ['1.3.1.9'])]",P 62 2 2,17-AUG-05,"['NAI', 'LYS']"
2AQH,2.01,X-RAY DIFFRACTION,10.1016/J.JMB.2006.03.055,{'A': ['P9WGR1']},['A'],16647717,"[('A', ['1.3.1.9'])]",P 62 2 2,18-AUG-05,['NAI']
2AQI,2.2,X-RAY DIFFRACTION,10.1016/J.JMB.2006.03.055,{'A': ['P9WGR1']},['A'],16647717,"[('A', ['1.3.1.9'])]",P 62 2 2,18-AUG-05,['NAI']
2AQK,2.3,X-RAY DIFFRACTION,10.1016/J.JMB.2006.03.055,{'A': ['P9WGR1']},['A'],16647717,"[('A', ['1.3.1.9'])]",P 62 2 2,18-AUG-05,['NAI']
2B35,2.3,X-RAY DIFFRACTION,,"{'A': ['P9WGR1'], 'C': ['P9WGR1'], 'B': ['P9WGR1'], 'E': ['P9WGR1'], 'D': ['P9WGR1'], 'F': ['P9WGR1']}","['A', 'C', 'B', 'E', 'D', 'F']",,"[('A', ['1.3.1.9']), ('C', ['1.3.1.9']), ('B', ['1.3.1.9']), ('E', ['1.3.1.9']), ('D', ['1.3.1.9']), ('F', ['1.3.1.9'])]",C 1 2 1,19-SEP-05,"['NAD', 'TCL']"
2B36,2.8,X-RAY DIFFRACTION,,"{'A': ['P9WGR1'], 'C': ['P9WGR1'], 'B': ['P9WGR1'], 'E': ['P9WGR1'], 'D': ['P9WGR1'], 'F': ['P9WGR1']}","['A', 'C', 'B', 'E', 'D', 'F']",,"[('A', ['1.3.1.9']), ('C', ['1.3.1.9']), ('B', ['1.3.1.9']), ('E', ['1.3.1.9']), ('D', ['1.3.1.9']), ('F', ['1.3.1.9'])]",C 1 2 1,19-SEP-05,"['NAD', '5PP']"
2B37,2.6,X-RAY DIFFRACTION,,"{'A': ['P9WGR1'], 'C': ['P9WGR1'], 'B': ['P9WGR1'], 'E': ['P9WGR1'], 'D': ['P9WGR1'], 'F': ['P9WGR1']}","['A', 'C', 'B', 'E', 'D', 'F']",,"[('A', ['1.3.1.9']), ('C', ['1.3.1.9']), ('B', ['1.3.1.9']), ('E', ['1.3.1.9']), ('D', ['1.3.1.9']), ('F', ['1.3.1.9'])]",C 2 2 21,19-SEP-05,"['NAD', '8PS']"
2B7O,2.3,X-RAY DIFFRACTION,10.1016/J.JMB.2005.09.093,"{'A': ['O53512'], 'B': ['O53512']}","['A', 'B']",16288916,"[('A', ['2.5.1.54']), ('B', ['2.5.1.54'])]",P 32 2 1,05-OCT-05,"['PEP', 'MSE', 'SO4', 'CE1', 'MN']"
2BES,2.1,X-RAY DIFFRACTION,10.1074/JBC.M412018200,"{'A': ['P9WKD7'], 'C': ['P9WKD7'], 'B': ['P9WKD7'], 'E': ['P9WKD7'], 'D': ['P9WKD7']}","['A', 'C', 'B', 'E', 'D']",15590681,"[('A', ['5.3.1.6']), ('C', ['5.3.1.6']), ('B', ['5.3.1.6']), ('E', ['5.3.1.6']), ('D', ['5.3.1.6'])]",C 1 2 1,30-NOV-04,['RES']
2BET,2.2,X-RAY DIFFRACTION,10.1074/JBC.M412018200,"{'A': ['P9WKD7'], 'C': ['P9WKD7'], 'B': ['P9WKD7'], 'E': ['P9WKD7'], 'D': ['P9WKD7']}","['A', 'B', 'C', 'D', 'E']",15590681,"[('A', ['5.3.1.6']), ('B', ['5.3.1.6']), ('C', ['5.3.1.6']), ('D', ['5.3.1.6']), ('E', ['5.3.1.6'])]",C 1 2 1,30-NOV-04,['DEZ']
2BJB,1.8,X-RAY DIFFRACTION,,{'A': ['P9WPY5']},['A'],,"[('A', ['2.5.1.19'])]",H 3,01-FEB-05,"['ACT', 'NA']"
