,i_entry_name,i_length,i_native,i_tm_helix,i_tm_score,u_uniprot_acc
458,GLTB_ECOLI,1486.0, ,5.0,,P09831
459,GLTI_ECOLI,302.0, ,3.0,,P37902
460,GLTL_ECOLI,241.0, ,0.0,,P0AAG3
461,SYE_ECOLI,471.0, ,1.0,,P04805
462,PTXC_ECOLI,368.0, ,183.0,,P31452
463,GLXR_ECOLI,292.0, ,0.0,,P77161
464,SYGB_ECOLI,689.0, ,0.0,,P00961
465,GMHB_ECOLI,191.0,3l8eA,0.0,,P63228
466,6PGD_ECOLI,468.0,3fwnA,0.0,,P00350
467,GNTR_ECOLI,331.0, ,0.0,,P0ACP5
468,GNTX_ECOLI,227.0, ,0.0,,P46846
469,GPMA_ECOLI,250.0,1e58A,0.0,,P62707
470,GPPA_ECOLI,494.0, ,0.0,,P25552
471,GREA_ECOLI,158.0,1grjA,0.0,,P0A6W5
472,GRPE_ECOLI,197.0,1dkgA,0.0,,P09372
473,GSHB_ECOLI,316.0,1gsaA,0.0,,P04425
474,GSIC_ECOLI,306.0, ,136.0,,P75798
475,GSP_ECOLI,619.0,2io9B,8.0,,P0AES0
476,GSPD_ECOLI,650.0, ,7.0,,P45758
477,GSPK_ECOLI,327.0, ,18.0,,P45762
478,GUAA_ECOLI,525.0,1gpmA,0.0,,P04079
479,GUAD_ECOLI,439.0, ,0.0,,P76641
480,GUDX_ECOLI,446.0, ,0.0,,Q46915
481,GYRB_ECOLI,804.0, ,0.0,,P0AES6
482,HCAE_ECOLI,453.0, ,0.0,,P0ABR5
483,HCAT_ECOLI,379.0, ,220.0,,Q47142
484,HCR_ECOLI,322.0, ,0.0,,P75824
485,HDFR_ECOLI,279.0, ,0.0,,P0A8R9
486,HEM1_ECOLI,418.0, ,0.0,,P0A6X1
487,HEM4_ECOLI,246.0, ,0.0,,P09126
488,HEMG_ECOLI,181.0, ,0.0,,P0ACB4
489,HEMN_ECOLI,457.0,1oltA,0.0,,P32131
490,HFLC_ECOLI,334.0, ,18.0,,P0ABC3
491,HFLX_ECOLI,426.0, ,0.0,,P25519
492,HIS7_ECOLI,355.0, ,0.0,,P06987
493,HIS6_ECOLI,258.0, ,0.0,,P60664
494,HIS2_ECOLI,203.0, ,0.0,,P06989
495,HISM_ECOLI,238.0, ,109.0,,P0AEU3
496,SYH_ECOLI,424.0,1kmmC,0.0,,P60906
497,HLYE_ECOLI,303.0,1qoyA,13.0,,P77335
498,HOFB_ECOLI,461.0, ,0.0,,P36645
499,GSPF_ECOLI,398.0, ,76.0,,P41441
500,HOFQ_ECOLI,412.0, ,4.0,,P34749
501,HPRT_ECOLI,178.0,1g9sA,1.0,,P0A9M2
502,HRSA_ECOLI,658.0, ,155.0,,P54745
503,HSCC_ECOLI,556.0, ,0.0,,P77319
504,T1SK_ECOLI,464.0, ,0.0,,P05719
505,HSLV_ECOLI,176.0,1nedA,3.0,,P0A7B8
506,HTPX_ECOLI,293.0, ,86.0,,P23894
507,MBHS_ECOLI,372.0, ,29.0,,P69739
508,HYAD_ECOLI,195.0, ,0.0,,P19930
509,HYBA_ECOLI,328.0, ,13.0,,P0AAJ8
510,HYBD_ECOLI,164.0,1cfzA,0.0,,P37182
511,HYCC_ECOLI,608.0, ,315.0,,P16429
512,HYCF_ECOLI,180.0, ,0.0,,P16432
513,HYDN_ECOLI,175.0, ,0.0,,P0AAK4
514,HYFC_ECOLI,315.0, ,183.0,,P77858
515,HYFF_ECOLI,526.0, ,271.0,,P77437
516,HYFI_ECOLI,252.0, ,0.0,,P77668
517,HYPB_ECOLI,290.0, ,0.0,,P0AAN3
518,HYPF_ECOLI,750.0, ,0.0,,P30131
519,IADA_ECOLI,390.0,1onxA,0.0,,P39377
520,IBSB_ECOLI,18.0, ,4.0,,C1P608
521,IBSE_ECOLI,19.0, ,6.0,,C1P617
522,ICLR_ECOLI,274.0,2o9aA,0.0,,P16528
523,IDNK_ECOLI,187.0, ,0.0,,P39208
524,IDNT_ECOLI,439.0, ,236.0,,P39344
525,ILVB_ECOLI,562.0, ,3.0,,P08142
526,ILVE_ECOLI,309.0,1i1lA,0.0,,P0AB80
527,ILVI_ECOLI,574.0, ,2.0,,P00893
528,IF2_ECOLI,890.0, ,2.0,,P0A705
529,INSD2_ECOLI,301.0, ,0.0,,P0CF54
530,INSD5_ECOLI,301.0, ,0.0,,P0CF57
531,INSD8_ECOLI,218.0, ,0.0,,P0CF60
532,INSF3_ECOLI,288.0, ,0.0,,P0CF81
533,INSF6_ECOLI,288.0, ,0.0,,P0CF84
534,INSH1_ECOLI,338.0, ,0.0,,P0CE49
535,INSH4_ECOLI,338.0, ,0.0,,P0CE52
536,INSH7_ECOLI,338.0, ,0.0,,P0CE54
537,INH10_ECOLI,338.0, ,0.0,,P0CE57
538,INSI3_ECOLI,383.0, ,0.0,,P0CF89
539,INSK_ECOLI,283.0, ,0.0,,P19769
540,INSL3_ECOLI,370.0, ,0.0,,P0CF93
541,INTA_ECOLI,413.0, ,0.0,,P32053
542,INTE_ECOLI,375.0, ,0.0,,P75969
543,INTR_ECOLI,411.0, ,0.0,,P76056
544,ISCR_ECOLI,162.0, ,0.0,,P0AGK8
545,ISPB_ECOLI,323.0, ,3.0,,P0AD57
546,ISPF_ECOLI,159.0,3esjA,0.0,,P62617
547,IVY_ECOLI,157.0,1gpqA,9.0,,P0AD59
548,KATG_ECOLI,726.0, ,1.0,,P13029
549,KBL_ECOLI,398.0,1fc4A,0.0,,P0AB77
550,KDGR_ECOLI,263.0,1yspA,0.0,,P76268
551,ATKB_ECOLI,682.0, ,132.0,,P03960
552,KDSA_ECOLI,284.0,1g7vA,0.0,,P0A715
553,KDSD_ECOLI,328.0,2xhzB,1.0,,P45395
554,KEFA_ECOLI,1120.0, ,247.0,,P77338
555,KEFF_ECOLI,176.0,3eywA,1.0,,P0A754
556,KPTA_ECOLI,184.0, ,0.0,,P39380
557,LACI_ECOLI,360.0,1lbgA,0.0,,P03023
558,LAMB_ECOLI,446.0,1af6A,5.0,,P02943
559,DCLZ_ECOLI,713.0, ,1.0,,P52095
560,LEP_ECOLI,324.0,1b12A,39.0,,P00803
561,LEUC_ECOLI,466.0, ,3.0,,P0A6A6
562,LEUO_ECOLI,314.0, ,0.0,,P10151
563,LHGO_ECOLI,422.0, ,1.0,,P37339
564,LIGB_ECOLI,560.0, ,6.0,,P25772
565,LIPB_ECOLI,213.0, ,0.0,,P60720
566,LIVG_ECOLI,255.0, ,0.0,,P0A9S7
567,LIVK_ECOLI,369.0,1usgA,10.0,,P04816
568,LLDP_ECOLI,551.0, ,278.0,,P33231
569,LOLA_ECOLI,203.0,2zpcA,5.0,,P61316
570,LOLD_ECOLI,233.0, ,0.0,,P75957
571,LON_ECOLI,784.0, ,5.0,,P0A9M0
572,LPLT_ECOLI,397.0, ,220.0,,P39196
573,LPTA_ECOLI,185.0,2r19B,13.0,,P0ADV1
574,LPTD_ECOLI,784.0, ,3.0,,P31554
575,LPTG_ECOLI,360.0, ,135.0,,P0ADC6
576,LPXC_ECOLI,305.0, ,0.0,,P0A725
577,LPXK_ECOLI,328.0, ,18.0,,P27300
578,LRP_ECOLI,164.0,2gqqC,0.0,,P0ACJ0
579,LSRC_ECOLI,342.0, ,180.0,,P77672
580,LSRK_ECOLI,530.0, ,0.0,,P77432
581,LUXS_ECOLI,171.0, ,0.0,,P45578
582,LYSP_ECOLI,489.0, ,239.0,,P25737
583,SYK2_ECOLI,505.0,1e1tA,0.0,,P0A8N5
584,MACA_ECOLI,371.0,3fppB,18.0,,P75830
585,MAO2_ECOLI,759.0, ,12.0,,P76558
586,MALF_ECOLI,514.0,2r6gF,174.0,,P02916
587,MALK_ECOLI,371.0,2awnB,0.0,,P68187
588,AMY1_ECOLI,676.0, ,5.0,,P25718
589,MALY_ECOLI,390.0,1d2fB,0.0,,P23256
590,MANB_ECOLI,456.0, ,0.0,,P24175
591,MAOC_ECOLI,681.0, ,1.0,,P77455
592,MATA_ECOLI,196.0, ,0.0,,P71301
593,MBHA_ECOLI,211.0, ,0.0,,Q47154
594,MCRB_ECOLI,459.0, ,0.0,,P15005
595,MDFA_ECOLI,410.0, ,242.0,,P0AEY8
596,MDLB_ECOLI,593.0, ,124.0,,P0AAG5
597,OPGD_ECOLI,551.0, ,10.0,,P40120
598,MDTA_ECOLI,415.0, ,17.0,,P76397
599,MDTD_ECOLI,471.0, ,269.0,,P36554
600,MDTG_ECOLI,408.0, ,224.0,,P25744
601,MDTL_ECOLI,391.0, ,235.0,,P31462
602,MDTO_ECOLI,683.0, ,176.0,,P32715
603,AGAL_ECOLI,451.0, ,1.0,,P06720
604,MENA_ECOLI,308.0, ,152.0,,P32166
605,MEND_ECOLI,556.0,2jlcB,1.0,,P17109
606,MENH_ECOLI,252.0, ,1.0,,P37355
607,METB_ECOLI,386.0,1cs1A,0.0,,P00935
608,METF_ECOLI,296.0,1zp3B,0.0,,P0AEZ1
609,METI_ECOLI,217.0,3dhwA,114.0,,P31547
610,METN_ECOLI,343.0,3dhwC,1.0,,P30750
611,MFD_ECOLI,1148.0,2eyqA,0.0,,P30958
612,MGLC_ECOLI,336.0, ,183.0,,P23200
613,LPMG_ECOLI,17.0, ,0.0,,E2JKY7
614,MHPC_ECOLI,288.0,1u2eA,0.0,,P77044
615,ACDH_ECOLI,316.0, ,0.0,,P77580
616,MIAA_ECOLI,316.0,2zxuA,0.0,,P16384
617,MIND_ECOLI,270.0,3q9lA,0.0,,P0AEZ3
618,MLAF_ECOLI,269.0, ,1.0,,P63386
619,MLTA_ECOLI,365.0,2ae0X,6.0,,P0A935
620,MLTD_ECOLI,452.0, ,5.0,,P0AEZ7
621,MMUM_ECOLI,310.0, ,0.0,,Q47690
622,MNGR_ECOLI,240.0, ,0.0,,P13669
623,MNME_ECOLI,454.0, ,0.0,,P25522
624,MNTR_ECOLI,155.0,2h09A,0.0,,P0A9F1
625,MOAC_ECOLI,161.0,1ekrA,0.0,,P0A738
626,MODA_ECOLI,257.0,1amfA,10.0,,P37329
627,MODE_ECOLI,262.0,1b9nA,0.0,,P0A9G8
628,MOEB_ECOLI,249.0,1jw9B,2.0,,P12282
629,MPAA_ECOLI,242.0, ,0.0,,P0ACV6
630,MPRA_ECOLI,176.0, ,0.0,,P0ACR9
631,MRAZ_ECOLI,152.0, ,0.0,,P22186
632,PBP2_ECOLI,633.0, ,24.0,,P0AD65
633,MREC_ECOLI,367.0, ,20.0,,P16926
634,MRR_ECOLI,304.0, ,0.0,,P24202
635,MSCM_ECOLI,415.0, ,106.0,,P0AAT4
636,MTFA_ECOLI,265.0, ,0.0,,P76346
637,MTLD_ECOLI,382.0, ,0.0,,P09424
638,MTR_ECOLI,414.0, ,222.0,,P0AAD2
639,MUKE_ECOLI,234.0,3euhC,1.0,,P22524
640,MURB_ECOLI,342.0,2q85A,0.0,,P08373
641,MURE_ECOLI,495.0,1e8cB,1.0,,P22188
642,MURI_ECOLI,285.0,2jfnA,0.0,,P22634
643,MURQ_ECOLI,298.0, ,2.0,,P76535
644,FPG_ECOLI,269.0,1k82A,0.0,,P05523
645,MVIM_ECOLI,307.0,1tltB,0.0,,P75931
646,NADA_ECOLI,347.0, ,0.0,,P11458
647,NADD_ECOLI,213.0,1k4kA,0.0,,P0A752
648,NAGA_ECOLI,382.0,2p50A,0.0,,P0AF18
649,NAGD_ECOLI,250.0,2c4nA,0.0,,P0AF24
650,NAGZ_ECOLI,341.0, ,0.0,,P75949
651,NANE_ECOLI,229.0, ,0.0,,P0A761
652,NANR_ECOLI,263.0, ,0.0,,P0A8W0
653,NAPA_ECOLI,828.0,2nyaA,4.0,,P33937
654,NAPG_ECOLI,231.0, ,9.0,,P0AAL3
655,NARH_ECOLI,512.0,1q16B,0.0,,P11349
656,NARK_ECOLI,463.0, ,224.0,,P10903
657,NARQ_ECOLI,566.0, ,41.0,,P27896
658,NARW_ECOLI,231.0, ,0.0,,P19317
659,NARZ_ECOLI,1246.0, ,0.0,,P19319
660,NEMA_ECOLI,365.0, ,0.0,,P77258
661,NFI_ECOLI,223.0, ,2.0,,P68739
662,NFRA_ECOLI,990.0, ,6.0,,P31600
663,NFUA_ECOLI,191.0, ,0.0,,P63020
664,NHAR_ECOLI,301.0, ,0.0,,P0A9G2
665,NIKB_ECOLI,314.0, ,134.0,,P33591
666,NIKE_ECOLI,268.0, ,0.0,,P33594
667,NLPA_ECOLI,272.0, ,10.0,,P04846
668,NLPD_ECOLI,379.0, ,7.0,,P0ADA3
669,NMPC_ECOLI,365.0, ,11.0,,P21420
670,NORR_ECOLI,504.0, ,0.0,,P37013
671,NPD_ECOLI,242.0,1s5pA,2.0,,P75960
672,NRDD_ECOLI,712.0, ,0.0,,P28903
673,NRDG_ECOLI,154.0, ,0.0,,P0A9N8
674,NRFC_ECOLI,223.0, ,8.0,,P0AAK7
675,NRFG_ECOLI,198.0, ,19.0,,P32712
676,NUDC_ECOLI,257.0,2gb5A,0.0,,P32664
677,ADPP_ECOLI,209.0,1g9qA,0.0,,Q93K97
678,NUDL_ECOLI,192.0, ,0.0,,P43337
679,NUOE_ECOLI,166.0, ,0.0,,P0AFD1
680,NUOH_ECOLI,325.0, ,189.0,,P0AFD4
681,NUOL_ECOLI,613.0, ,323.0,,P33607
682,NUPC_ECOLI,400.0, ,184.0,,P0AFF2
683,NUSA_ECOLI,495.0, ,0.0,,P0AFF6
684,OGT_ECOLI,171.0, ,0.0,,P0AFH0
685,OMPF_ECOLI,362.0,1opfA,13.0,,P02931
686,OMPN_ECOLI,377.0, ,9.0,,P77747
687,OMPW_ECOLI,212.0,2f1tA,6.0,,P0A915
688,OPPB_ECOLI,306.0, ,141.0,,P0AFH2
689,OPPF_ECOLI,334.0, ,0.0,,P77737
690,OSMY_ECOLI,201.0, ,3.0,,P0AFH8
691,OXAA_ECOLI,548.0, ,102.0,,P25714
692,PAAA_ECOLI,309.0,3pvrA,1.0,,P76077
693,PAAE_ECOLI,356.0, ,5.0,,P76081
694,PAAH_ECOLI,475.0,3mogC,1.0,,P76083
695,PAAX_ECOLI,316.0, ,0.0,,P76086
696,PABB_ECOLI,453.0,1k0eA,1.0,,P05041
697,PAL_ECOLI,173.0,1oapA,7.0,,P0A912
698,PANE_ECOLI,303.0,1yjqA,0.0,,P0A9J4
699,PARE_ECOLI,630.0,1s16A,0.0,,P20083
700,PBP7_ECOLI,310.0, ,7.0,,P0AFI5
701,PCNB_ECOLI,465.0, ,0.0,,P0ABF1
702,PDXB_ECOLI,378.0, ,0.0,,P05459
703,PDXK_ECOLI,283.0,2ddmB,0.0,,P40191
704,PEPB_ECOLI,427.0, ,0.0,,P37095
705,AMPN_ECOLI,870.0,2dqmA,0.0,,P04825
706,PEPT_ECOLI,408.0,1vixA,0.0,,P29745
707,K6PF1_ECOLI,320.0,1pfkA,0.0,,P0A796
708,PFLB_ECOLI,760.0,1h16A,2.0,,P09373
709,PGAA_ECOLI,807.0, ,3.0,,P69434
710,G6PI_ECOLI,549.0,3nbuB,2.0,,P0A6T1
711,PGM_ECOLI,546.0, ,0.0,,P36938
712,PHEA_ECOLI,386.0, ,0.0,,P0A9J8
713,PHEP_ECOLI,458.0, ,240.0,,P24207
714,PHNC_ECOLI,262.0, ,0.0,,P16677
715,PHNF_ECOLI,241.0,2fa1A,0.0,,P16684
716,PHNK_ECOLI,252.0, ,0.0,,P16678
717,PHNN_ECOLI,185.0, ,1.0,,P16690
718,PHOB_ECOLI,229.0,2iynB,0.0,,P0AFJ5
719,PHOP_ECOLI,223.0,2pkxB,0.0,,P23836
720,PHOU_ECOLI,241.0, ,1.0,,P0A9K7
721,PINE_ECOLI,184.0, ,0.0,,P03014
722,PITA_ECOLI,499.0, ,200.0,,P0AFJ7
723,PA1_ECOLI,289.0,1im0A,2.0,,P0A921
724,PLSC_ECOLI,245.0, ,36.0,,P26647
725,PNCA_ECOLI,213.0, ,0.0,,P21369
726,PNTA_ECOLI,510.0,1x15A,89.0,,P07001
727,DPO2_ECOLI,783.0,3k57A,0.0,,P21189
728,POTC_ECOLI,264.0, ,133.0,,P0AFK6
729,POTF_ECOLI,370.0,1a99A,10.0,,P31133
730,POTI_ECOLI,281.0, ,139.0,,P0AFL1
731,IPYR_ECOLI,176.0,1inoA,0.0,,P0A7A9
732,PPDB_ECOLI,187.0, ,22.0,,P08371
733,PPIA_ECOLI,190.0,1j2aA,8.0,,P0AFL3
734,PPK_ECOLI,688.0,1xdoA,1.0,,P0A7B1
735,PPSA_ECOLI,792.0, ,0.0,,P23538
736,PQQL_ECOLI,931.0, ,17.0,,P31828
737,PRET_ECOLI,412.0, ,0.0,,P76440
738,RF3_ECOLI,529.0,3zvoY,0.0,,P0A7I4
739,PRIC_ECOLI,175.0, ,0.0,,P23862
740,PRMA_ECOLI,293.0, ,0.0,,P0A8T1
741,PROA_ECOLI,417.0, ,2.0,,P07004
742,PROP_ECOLI,500.0, ,240.0,,P0C0L7
743,PROV_ECOLI,400.0, ,0.0,,P14175
744,PROY_ECOLI,457.0, ,235.0,,P0AAE2
745,PRPD_ECOLI,483.0,1szqA,0.0,,P77243
746,ABDH_ECOLI,474.0,1wnbA,2.0,,P77674
747,GSPM_ECOLI,153.0, ,14.0,,P36678
748,PSS_ECOLI,451.0, ,1.0,,P23830
749,PSTC_ECOLI,319.0, ,150.0,,P0AGH8
750,PSUK_ECOLI,313.0, ,0.0,,P30235
751,PTH_ECOLI,194.0,2pthA,0.0,,P0A7D1
752,PTFX2_ECOLI,833.0, ,0.0,,P32670
753,PTSN_ECOLI,163.0,1a6jB,0.0,,P69829
754,PUR8_ECOLI,456.0,2ptqA,0.0,,P0AB89
755,PURE_ECOLI,169.0,2nshA,3.0,,P0AG18
756,PURK_ECOLI,355.0,1b6sB,0.0,,P09029
757,PUR3_ECOLI,212.0,1c2tA,0.0,,P08179
758,PURT_ECOLI,392.0,1eyzA,0.0,,P33221
759,PUTP_ECOLI,502.0, ,276.0,,P07117
760,PUUC_ECOLI,495.0, ,1.0,,P23883
761,PUUP_ECOLI,461.0, ,238.0,,P76037
762,KPYK1_ECOLI,470.0,1pkyA,0.0,,P0AD61
763,PYRD_ECOLI,336.0,1f76A,0.0,,P0A7E1
764,PYRG_ECOLI,545.0,1s1mB,15.0,,P0A7E5
765,QMCA_ECOLI,305.0, ,30.0,,P0AA53
766,QSEC_ECOLI,449.0, ,35.0,,P40719
767,QUEC_ECOLI,231.0, ,1.0,,P77756
768,RADA_ECOLI,460.0, ,3.0,,P24554
769,RARD_ECOLI,296.0, ,178.0,,P27844
770,RBN_ECOLI,305.0,2cbnA,0.0,,P0A8V0
771,RBSC_ECOLI,321.0, ,172.0,,P0AGI1
772,RCNA_ECOLI,274.0, ,122.0,,P76425
773,RCSC_ECOLI,949.0, ,33.0,,P14376
774,RDGC_ECOLI,303.0,2owlA,0.0,,P36767
775,EX5B_ECOLI,1180.0,1w36B,0.0,,P08394
776,RECE_ECOLI,866.0, ,0.0,,P15032
777,RECJ_ECOLI,577.0, ,3.0,,P21893
778,RECQ_ECOLI,609.0,1oyyA,1.0,,P15043
779,RELA_ECOLI,744.0, ,1.0,,P0AG20
780,RFAC_ECOLI,319.0,2h1hA,0.0,,P24173
781,RFAH_ECOLI,162.0,2ougA,0.0,,P0AFW0
782,RFAL_ECOLI,419.0, ,213.0,,P27243
783,RFAS_ECOLI,311.0, ,0.0,,P27126
784,RMLB1_ECOLI,361.0, ,0.0,,P37759
785,RFBX_ECOLI,415.0, ,263.0,,P37746
786,RMLB2_ECOLI,355.0,1bxkB,0.0,,P27830
787,RHAD_ECOLI,274.0,1gt7A,0.0,,P32169
788,RHAT_ECOLI,344.0, ,188.0,,P27125
789,RHMA_ECOLI,267.0,2vwsA,0.0,,P76469
790,RHMT_ECOLI,429.0, ,233.0,,P76470
791,RHSB_ECOLI,1411.0, ,0.0,,P16917
792,RHSE_ECOLI,682.0, ,0.0,,P24211
793,RHTC_ECOLI,206.0, ,118.0,,P0AG38
794,RIBD_ECOLI,367.0,2g6vB,0.0,,P25539
795,RISB_ECOLI,156.0, ,0.0,,P61714
796,RIHC_ECOLI,304.0, ,0.0,,P22564
797,RIML_ECOLI,179.0, ,0.0,,P13857
798,RIMO_ECOLI,441.0, ,0.0,,P0AEI4
799,RLMG_ECOLI,378.0, ,0.0,,P42596
800,RLML_ECOLI,702.0, ,0.0,,P75864
801,RLUA_ECOLI,219.0,2i82A,0.0,,P0AA37
802,RLUD_ECOLI,326.0,2istA,0.0,,P33643
803,RMLA1_ECOLI,293.0,1h5rA,2.0,,P37744
804,RNI_ECOLI,268.0,2ea1A,7.0,,P21338
805,RND_ECOLI,375.0,1yt3A,0.0,,P09155
806,RNFB_ECOLI,192.0, ,20.0,,P77223
807,RNFE_ECOLI,231.0, ,108.0,,P77179
808,RNH_ECOLI,155.0,1goaA,0.0,,P0A7Y4
809,RNT_ECOLI,215.0,3nh1A,0.0,,P30014
810,RPE_ECOLI,225.0, ,0.0,,P0AG07
811,RPIR_ECOLI,296.0, ,1.0,,P0ACS7
812,RL3_ECOLI,209.0,1vs6D,0.0,,P60438
813,RL6_ECOLI,177.0,1vs6G,0.0,,P0AG55
814,RPOB_ECOLI,1342.0, ,2.0,,P0A8V2
815,RPOE_ECOLI,191.0,1or7A,0.0,,P0AGB6
816,RPOS_ECOLI,330.0, ,0.0,,P13445
817,RS2_ECOLI,241.0,1vs5B,0.0,,P0A7V0
818,RS5_ECOLI,167.0,1vs5E,0.0,,P0A7W1
819,RLMA_ECOLI,269.0,1p91A,0.0,,P36999
820,RSEA_ECOLI,216.0, ,8.0,,P0AFX7
821,RSGA_ECOLI,350.0, ,0.0,,P39286
822,RSMC_ECOLI,343.0,2pjdA,0.0,,P39406
823,RSMF_ECOLI,479.0,2frxA,0.0,,P76273
824,RSMI_ECOLI,286.0, ,0.0,,P67087
825,RSSA_ECOLI,301.0, ,0.0,,P0AFR0
826,RSUA_ECOLI,231.0,1kskA,0.0,,P0AA43
827,RTCR_ECOLI,532.0, ,0.0,,P38035
828,RUMB_ECOLI,375.0, ,0.0,,P75817
829,RUTD_ECOLI,266.0, ,3.0,,P75895
830,RUTG_ECOLI,442.0, ,234.0,,P75892
831,RUVB_ECOLI,336.0, ,0.0,,P0A812
832,SAPA_ECOLI,547.0, ,4.0,,Q47622
833,SAPD_ECOLI,330.0, ,0.0,,P0AAH4
834,SBCC_ECOLI,1048.0, ,1.0,,P13458
835,SBMA_ECOLI,406.0, ,147.0,,P0AFY6
836,SDHL_ECOLI,454.0, ,1.0,,P16095
837,DHSA_ECOLI,588.0,1nekA,0.0,,P0AC41
838,SECA_ECOLI,901.0,2fsiB,0.0,,P10408
839,SECF_ECOLI,323.0, ,127.0,,P0AG93
840,SELB_ECOLI,614.0, ,0.0,,P14081
841,SEQA_ECOLI,181.0,3fmtA,0.0,,P0AFY8
842,SERC_ECOLI,362.0,1bjoA,0.0,,P23721
843,SETB_ECOLI,393.0, ,235.0,,P33026
844,SFMC_ECOLI,230.0, ,20.0,,P77249
845,SFMH_ECOLI,327.0, ,0.0,,P75715
846,SGBU_ECOLI,286.0, ,0.0,,P37679
847,SGCQ_ECOLI,268.0, ,0.0,,P39364
848,SGRR_ECOLI,551.0, ,0.0,,P33595
849,SIXA_ECOLI,161.0,1ujbA,0.0,,P76502
850,SLT_ECOLI,645.0,1qsaA,10.0,,P0AGC3
851,SMP_ECOLI,214.0, ,35.0,,P0AGC7
852,SODM_ECOLI,206.0,1d5nA,0.0,,P00448
853,SOHB_ECOLI,349.0, ,32.0,,P0AG14
854,SOXR_ECOLI,154.0,2zhgA,1.0,,P0ACS2
855,DCOR_ECOLI,711.0, ,0.0,,P21169
856,DCOS_ECOLI,732.0, ,0.0,,P24169
857,SPPA_ECOLI,618.0,3bf0C,27.0,,P08395
858,SPY_ECOLI,161.0, ,6.0,,P77754
859,SRMB_ECOLI,444.0, ,0.0,,P21507
860,SSNA_ECOLI,442.0, ,0.0,,Q46812
861,SSTT_ECOLI,414.0, ,199.0,,P0AGE4
862,SSUC_ECOLI,263.0, ,135.0,,P75851
863,STFE_ECOLI,166.0, ,0.0,,P33227
864,STHA_ECOLI,466.0, ,3.0,,P27306
865,SUCC_ECOLI,388.0,1jkjB,0.0,,P0A836
866,SUFC_ECOLI,248.0,2zu0C,0.0,,P77499
867,SUFS_ECOLI,406.0,1i29A,1.0,,P77444
868,SUPH_ECOLI,271.0,1rlmA,0.0,,P75792
869,SXY_ECOLI,209.0, ,1.0,,P75869
870,3MG1_ECOLI,187.0, ,1.0,,P05100
871,TAM_ECOLI,252.0, ,0.0,,P76145
872,TAS_ECOLI,346.0,1lqaA,0.0,,P0A9T4
873,TATD_ECOLI,260.0,1xwyA,0.0,,P27859
874,TAUC_ECOLI,275.0, ,128.0,,Q47539
875,THD2_ECOLI,329.0, ,1.0,,P0AGF6
876,TDCE_ECOLI,764.0, ,0.0,,P42632
877,KITH_ECOLI,205.0, ,0.0,,P23331
878,TESA_ECOLI,208.0,1ivnA,16.0,,P0ADA1
879,TFAE_ECOLI,200.0, ,0.0,,P09153
880,THIB_ECOLI,327.0,2qryC,6.0,,P31550
881,THIE_ECOLI,211.0, ,1.0,,P30137
882,THIH_ECOLI,377.0, ,0.0,,P30140
883,THIK_ECOLI,274.0, ,0.0,,P75948
884,THIP_ECOLI,536.0, ,238.0,,P31549
885,KHSE_ECOLI,310.0, ,0.0,,P00547
886,TYSY_ECOLI,264.0,1an5A,1.0,,P0A884
887,TKT1_ECOLI,663.0,2r5nA,4.0,,P27302
888,TMCA_ECOLI,671.0,2zpaB,0.0,,P76562
889,TNAB_ECOLI,415.0, ,223.0,,P23173
890,TOLC_ECOLI,493.0,1tqqA,5.0,,P02930
891,TOP3_ECOLI,653.0,2o5cA,0.0,,P14294
892,TORD_ECOLI,199.0, ,0.0,,P36662
893,TORT_ECOLI,342.0, ,6.0,,P38683
894,TPIS_ECOLI,255.0,1treA,0.0,,P0A858
895,TREA_ECOLI,565.0,2jg0A,5.0,,P13482
896,TREF_ECOLI,549.0, ,0.0,,P62601
897,TRKA_ECOLI,458.0, ,0.0,,P0AGI8
898,TRMA_ECOLI,366.0,3bt7A,0.0,,P23003
899,TRMH_ECOLI,229.0, ,3.0,,P0AGJ2
900,TRPA_ECOLI,268.0,1wq5B,0.0,,P0A877
901,TRPG_ECOLI,531.0, ,1.0,,P00904
902,LPW_ECOLI,14.0, ,0.0,,P0AD92
903,TRUB_ECOLI,314.0,1k8wA,0.0,,P60340
904,TRXB_ECOLI,321.0,1f6mA,2.0,,P0A9P4
905,MCP1_ECOLI,551.0, ,36.0,,P02942
906,TTDB_ECOLI,201.0, ,0.0,,P0AC35
907,EFTU1_ECOLI,394.0,1d8tA,0.0,,P0CE47
908,AMO_ECOLI,757.0,2wgqB,5.0,,P46883
909,TYRB_ECOLI,397.0,3tatA,0.0,,P04693
910,SYY_ECOLI,424.0,1x8xA,0.0,,P0AGJ9
911,UBIC_ECOLI,165.0,1g1bA,0.0,,P26602
912,UBIF_ECOLI,391.0, ,8.0,,P75728
913,UBIX_ECOLI,189.0, ,0.0,,P0AG03
914,UDP_ECOLI,253.0,1k3fA,0.0,,P12758
915,UGPB_ECOLI,438.0, ,9.0,,P0AG80
916,UGPQ_ECOLI,247.0, ,0.0,,P10908
917,UHPC_ECOLI,439.0, ,239.0,,P09836
918,UIDB_ECOLI,457.0, ,262.0,,P0CE44
919,ULAA_ECOLI,465.0, ,243.0,,P39301
920,ULAE_ECOLI,284.0, ,0.0,,P39305
921,ULAR_ECOLI,251.0, ,0.0,,P0A9W0
922,UPP_ECOLI,208.0,2ehjA,0.0,,P0A8F0
923,USG_ECOLI,337.0, ,0.0,,P08390
924,UUP_ECOLI,635.0, ,0.0,,P43672
