,p_resolution,p_experiment,p_doi,p_chemicals,p_chain_uniprot_map,p_chains,p_pmid,p_space_group,p_deposition_date,p_ec_numbers
1K9S,2.0,X-RAY DIFFRACTION,10.1006/JMBI.2001.5211,"['FM2', 'FM1', 'PO4']","{'A': ['P0ABP8'], 'C': ['P0ABP8'], 'B': ['P0ABP8'], 'E': ['P0ABP8'], 'D': ['P0ABP8'], 'F': ['P0ABP8']}","['A', 'C', 'B', 'E', 'D', 'F']",11786017,P 41 21 2,30-OCT-01,"[('A', ['2.4.2.1']), ('C', ['2.4.2.1']), ('B', ['2.4.2.1']), ('E', ['2.4.2.1']), ('D', ['2.4.2.1']), ('F', ['2.4.2.1'])]"
1KAE,1.7,X-RAY DIFFRACTION,10.1073/PNAS.022476199,"['MSE', 'DTT', 'NAD', 'HSO', 'GOL', 'ZN', 'IMD', 'SO4']","{'A': ['P06988'], 'B': ['P06988']}","['A', 'B']",11842181,P 21 21 21,01-NOV-01,"[('A', ['1.1.1.23']), ('B', ['1.1.1.23'])]"
1KAG,2.05,X-RAY DIFFRACTION,10.1002/PROT.10099.ABS,,"{'A': ['P0A6D7'], 'B': ['P0A6D7']}","['A', 'B']",12001235,P 1 21 1,01-NOV-01,"[('A', ['2.7.1.71']), ('B', ['2.7.1.71'])]"
1KAH,2.1,X-RAY DIFFRACTION,10.1073/PNAS.022476199,"['ZN', 'HIS', 'MSE']","{'A': ['P06988'], 'B': ['P06988']}","['A', 'B']",11842181,P 21 21 21,02-NOV-01,"[('A', ['1.1.1.23']), ('B', ['1.1.1.23'])]"
1KAR,2.1,X-RAY DIFFRACTION,10.1073/PNAS.022476199,"['ZN', 'HSM', 'MSE']","{'A': ['P06988'], 'B': ['P06988']}","['A', 'B']",11842181,P 21 21 21,02-NOV-01,"[('A', ['1.1.1.23']), ('B', ['1.1.1.23'])]"
1KAS,2.4,X-RAY DIFFRACTION,10.1093/EMBOJ/17.5.1183,,{'A': ['P0AAI5']},['A'],9482715,P 31 2 1,22-DEC-97,"[('A', ['2.3.1.41'])]"
1KBR,1.55,X-RAY DIFFRACTION,10.1021/BI0267994,['CL'],{'A': ['P26281']},['A'],12578370,P 1 21 1,06-NOV-01,"[('A', ['2.7.6.3'])]"
1KCE,2.0,X-RAY DIFFRACTION,10.1021/BI961269R,"['UMP', 'CB3', 'CXM']","{'A': ['P0A884'], 'B': ['P0A884']}","['A', 'B']",8973201,P 63,22-OCT-96,"[('A', ['2.1.1.45']), ('B', ['2.1.1.45'])]"
1KDO,1.9,X-RAY DIFFRACTION,10.1006/JMBI.2001.5286,"['SO4', 'C']","{'A': ['P0A6I0'], 'B': ['P0A6I0']}","['A', 'B']",11827479,P 21 21 21,13-NOV-01,"[('A', ['2.7.4.14']), ('B', ['2.7.4.14'])]"
1KDP,2.3,X-RAY DIFFRACTION,10.1006/JMBI.2001.5286,"['SO4', 'C']","{'A': ['P0A6I0'], 'B': ['P0A6I0']}","['A', 'B']",11827479,P 21 21 21,13-NOV-01,"[('A', ['2.7.4.14']), ('B', ['2.7.4.14'])]"
1KDR,2.25,X-RAY DIFFRACTION,10.1006/JMBI.2001.5286,"['CAR', 'SO4']","{'A': ['P0A6I0'], 'B': ['P0A6I0']}","['A', 'B']",11827479,P 21 21 21,13-NOV-01,"[('A', ['2.7.4.14']), ('B', ['2.7.4.14'])]"
1KDT,1.95,X-RAY DIFFRACTION,10.1006/JMBI.2001.5286,"['SO4', 'DOC']","{'A': ['P0A6I0'], 'B': ['P0A6I0']}","['A', 'B']",11827479,P 21 21 21,13-NOV-01,"[('A', ['2.7.4.14']), ('B', ['2.7.4.14'])]"
1KEB,1.8,X-RAY DIFFRACTION,10.1093/PROTEIN/15.8.627,['CU'],"{'A': ['P0AA25'], 'B': ['P0AA25']}","['A', 'B']",12364576,P 1,15-NOV-01,
1KEE,2.1,X-RAY DIFFRACTION,10.1074/JBC.M108582200,"['NET', 'K', '143', 'ADP', 'CL', 'PO4', 'MN', 'ORN']","{'A': ['P00968'], 'C': ['P00968'], 'B': ['P0A6F1'], 'E': ['P00968'], 'D': ['P0A6F1'], 'G': ['P00968'], 'F': ['P0A6F1'], 'H': ['P0A6F1']}","['G', 'D', 'F', 'A', 'C', 'B', 'E', 'H']",11729189,P 21 21 21,15-NOV-01,"[('G', ['6.3.5.5']), ('D', ['6.3.5.5']), ('F', ['6.3.5.5']), ('A', ['6.3.5.5']), ('C', ['6.3.5.5']), ('B', ['6.3.5.5']), ('E', ['6.3.5.5']), ('H', ['6.3.5.5'])]"
1KF6,2.7,X-RAY DIFFRACTION,10.1074/JBC.M200815200,"['OAA', 'SF4', 'ACT', '1PE', 'HQO', 'F3S', 'FAD', 'K', 'CE1', 'FES']","{'A': ['P00363'], 'C': ['P0A8Q0'], 'B': ['P0AC47'], 'D': ['P0A8Q3'], 'M': ['P00363'], 'O': ['P0A8Q0'], 'N': ['P0AC47'], 'P': ['P0A8Q3']}","['D', 'A', 'C', 'B', 'M', 'O', 'N', 'P']",11850430,P 21 21 21,19-NOV-01,"[('A', ['1.3.99.1']), ('B', ['1.3.99.1']), ('M', ['1.3.99.1']), ('N', ['1.3.99.1'])]"
1KFL,2.8,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00545-4,"['PEP', 'MSE', 'SO4', 'MN', 'PHE']","{'A': ['P0AB91'], 'C': ['P0AB91'], 'B': ['P0AB91'], 'E': ['P0AB91'], 'D': ['P0AB91'], 'G': ['P0AB91'], 'F': ['P0AB91'], 'H': ['P0AB91']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'H']",12126632,C 1 2 1,21-NOV-01,"[('A', ['4.1.2.15']), ('C', ['4.1.2.15']), ('B', ['4.1.2.15']), ('E', ['4.1.2.15']), ('D', ['4.1.2.15']), ('G', ['4.1.2.15']), ('F', ['4.1.2.15']), ('H', ['4.1.2.15'])]"
1KFM,2.0,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00138-9,,{'A': ['P69776']},['A'],12054830,H 3,21-NOV-01,
1KFN,1.65,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00138-9,,{'A': ['P69776']},['A'],12054830,H 3,21-NOV-01,
1KFY,3.6,X-RAY DIFFRACTION,10.1074/JBC.M200815200,"['OAA', 'SF4', 'F3S', 'FAD', 'CE1', 'BRS', 'FES']","{'A': ['P00363'], 'C': ['P0A8Q0'], 'B': ['P0AC47'], 'D': ['P0A8Q3'], 'M': ['P00363'], 'O': ['P0A8Q0'], 'N': ['P0AC47'], 'P': ['P0A8Q3']}","['D', 'A', 'C', 'B', 'M', 'O', 'N', 'P']",11850430,P 21 21 21,24-NOV-01,"[('A', ['1.3.99.1']), ('B', ['1.3.99.1']), ('M', ['1.3.99.1']), ('N', ['1.3.99.1'])]"
1KH4,2.4,X-RAY DIFFRACTION,10.1006/JMBI.2001.5384,"['ZN', 'MG', 'PO4']","{'A': ['P00634'], 'B': ['P00634']}","['A', 'B']",11884134,P 63 2 2,29-NOV-01,"[('A', ['3.1.3.1']), ('B', ['3.1.3.1'])]"
1KH5,2.0,X-RAY DIFFRACTION,10.1006/JMBI.2001.5384,"['ZN', 'MG', 'AF3']","{'A': ['P00634'], 'B': ['P00634']}","['A', 'B']",11884134,P 63 2 2,29-NOV-01,"[('A', ['3.1.3.1']), ('B', ['3.1.3.1'])]"
1KH7,2.4,X-RAY DIFFRACTION,10.1006/JMBI.2001.5384,"['SO4', 'ZN', 'MG']","{'A': ['P00634'], 'B': ['P00634']}","['A', 'B']",11884134,P 63 2 2,29-NOV-01,"[('A', ['3.1.3.1']), ('B', ['3.1.3.1'])]"
1KH9,2.5,X-RAY DIFFRACTION,10.1006/JMBI.2001.5384,"['ZN', 'MG', 'PO4']","{'A': ['P00634'], 'B': ['P00634']}","['A', 'B']",11884134,P 63 2 2,29-NOV-01,"[('A', ['3.1.3.1']), ('B', ['3.1.3.1'])]"
1KHJ,2.3,X-RAY DIFFRACTION,10.1006/JMBI.2001.5384,"['ZN', 'AF3']","{'A': ['P00634'], 'B': ['P00634']}","['A', 'B']",11884134,P 63 2 2,30-NOV-01,"[('A', ['3.1.3.1']), ('B', ['3.1.3.1'])]"
1KHK,2.5,X-RAY DIFFRACTION,10.1006/JMBI.2001.5384,"['ZN', 'MG']","{'A': ['P00634'], 'B': ['P00634']}","['A', 'B']",11884134,P 63 2 2,30-NOV-01,"[('A', ['3.1.3.1']), ('B', ['3.1.3.1'])]"
1KHL,2.5,X-RAY DIFFRACTION,10.1006/JMBI.2001.5384,"['ZN', 'PO4']","{'A': ['P00634'], 'B': ['P00634']}","['A', 'B']",11884134,P 63 2 2,30-NOV-01,"[('A', ['3.1.3.1']), ('B', ['3.1.3.1'])]"
1KHN,2.6,X-RAY DIFFRACTION,10.1006/JMBI.2001.5384,['ZN'],"{'A': ['P00634'], 'B': ['P00634']}","['A', 'B']",11884134,P 63 2 2,30-NOV-01,"[('A', ['3.1.3.1']), ('B', ['3.1.3.1'])]"
1KHZ,2.04,X-RAY DIFFRACTION,10.1021/BI0259296,"['ADV', 'MG', 'CL']","{'A': ['Q93K97'], 'B': ['Q93K97']}","['A', 'B']",12135348,P 21 21 21,01-DEC-01,"[('A', ['3.6.1.13']), ('B', ['3.6.1.13'])]"
1KJ8,1.6,X-RAY DIFFRACTION,10.1074/JBC.M202251200,"['GAR', 'ATP', 'NA', 'CL', 'MG', 'EDO', 'MPO']","{'A': ['P33221'], 'B': ['P33221']}","['A', 'B']",11953435,P 21 21 2,04-DEC-01,"[('A', ['2.1.2.-']), ('B', ['2.1.2.-'])]"
1KJ9,1.6,X-RAY DIFFRACTION,10.1074/JBC.M202251200,"['ATP', 'NA', 'CL', 'MG', 'EDO', 'MPO']","{'A': ['P33221'], 'B': ['P33221']}","['A', 'B']",11953435,P 21 21 2,04-DEC-01,"[('A', ['2.1.2.-']), ('B', ['2.1.2.-'])]"
1KJI,1.6,X-RAY DIFFRACTION,10.1074/JBC.M202251200,"['ACP', 'NA', 'CL', 'MG', 'EDO', 'MPO']","{'A': ['P33221'], 'B': ['P33221']}","['A', 'B']",11953435,P 21 21 2,04-DEC-01,"[('A', ['2.1.2.-']), ('B', ['2.1.2.-'])]"
1KJJ,1.75,X-RAY DIFFRACTION,10.1074/JBC.M202251200,"['AGS', 'NA', 'CL', 'MG', 'MPO']","{'A': ['P33221'], 'B': ['P33221']}","['A', 'B']",11953435,P 21 21 2,04-DEC-01,"[('A', ['2.1.2.-']), ('B', ['2.1.2.-'])]"
1KJQ,1.05,X-RAY DIFFRACTION,10.1074/JBC.M202251200,"['NA', 'ADP', 'CL', 'MG', 'EDO', 'MPO']","{'A': ['P33221'], 'B': ['P33221']}","['A', 'B']",11953435,P 21 21 2,05-DEC-01,"[('A', ['2.1.2.-']), ('B', ['2.1.2.-'])]"
1KJX,2.6,X-RAY DIFFRACTION,10.1074/JBC.M109561200,['IMP'],{'A': ['P0A7D4']},['A'],11741996,P 32 2 1,05-DEC-01,"[('A', ['6.3.4.4'])]"
1KKB,2.6,X-RAY DIFFRACTION,10.1074/JBC.M109561200,"['HDA', 'IMP']",{'A': ['P0A7D4']},['A'],11741996,P 32 2 1,06-DEC-01,"[('A', ['6.3.4.4'])]"
1KKF,2.6,X-RAY DIFFRACTION,10.1074/JBC.M109561200,"['MG', 'HDA', 'IMP', 'DPO']",{'A': ['P0A7D4']},['A'],11741996,P 32 2 1,07-DEC-01,"[('A', ['6.3.4.4'])]"
1KMJ,2.0,X-RAY DIFFRACTION,10.1006/JMBI.2001.5308,"['PLP', 'CSS']",{'A': ['P77444']},['A'],11827487,P 43 21 2,16-DEC-01,"[('A', ['4.4.1.16'])]"
1KMK,2.2,X-RAY DIFFRACTION,10.1006/JMBI.2001.5308,"['PLP', 'CSZ', 'SEC']",{'A': ['P77444']},['A'],11827487,P 43 21 2,16-DEC-01,"[('A', ['4.4.1.16'])]"
1KMM,2.6,X-RAY DIFFRACTION,10.1073/PNAS.94.14.7144,['HAM'],"{'A': ['P60906'], 'C': ['P60906'], 'B': ['P60906'], 'D': ['P60906']}","['A', 'C', 'B', 'D']",9207058,P 1,09-MAY-97,"[('A', ['6.1.1.21']), ('C', ['6.1.1.21']), ('B', ['6.1.1.21']), ('D', ['6.1.1.21'])]"
1KMN,2.8,X-RAY DIFFRACTION,10.1073/PNAS.94.14.7144,"['HSO', 'ATP']","{'A': ['P60906'], 'C': ['P60906'], 'B': ['P60906'], 'D': ['P60906']}","['A', 'C', 'B', 'D']",9207058,P 1,09-MAY-97,"[('A', ['6.1.1.21']), ('C', ['6.1.1.21']), ('B', ['6.1.1.21']), ('D', ['6.1.1.21'])]"
1KMO,2.0,X-RAY DIFFRACTION,10.1126/SCIENCE.1067313,"['LDA', 'HTO']",{'A': ['P13036']},['A'],11872840,P 21 21 2,17-DEC-01,
1KMP,2.5,X-RAY DIFFRACTION,10.1126/SCIENCE.1067313,"['LDA', 'FE', 'CIT', 'MSE']",{'A': ['P13036']},['A'],11872840,P 21 21 2,17-DEC-01,
1KNJ,2.8,X-RAY DIFFRACTION,10.1074/JBC.C100739200,"['MN', 'CDI', 'C5P', 'MSE']",{'A': ['P62617']},['A'],11786530,I 21 3,18-DEC-01,
1KNK,2.8,X-RAY DIFFRACTION,10.1074/JBC.C100739200,['MN'],{'A': ['P62617']},['A'],11786530,I 21 3,18-DEC-01,
1KNP,2.6,X-RAY DIFFRACTION,10.1021/BI015939R,"['NA', 'SIN', 'FAD']",{'A': ['P10902']},['A'],11863440,P 41 21 2,19-DEC-01,"[('A', ['1.4.3.16'])]"
1KNQ,2.0,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00215-2,['CL'],"{'A': ['P46859'], 'B': ['P46859']}","['A', 'B']",12054802,P 21 21 21,19-DEC-01,"[('A', ['2.7.1.12']), ('B', ['2.7.1.12'])]"
1KNR,2.5,X-RAY DIFFRACTION,10.1021/BI015939R,"['CL', 'NA', 'FAD']",{'A': ['P10902']},['A'],11863440,P 41 21 2,19-DEC-01,"[('A', ['1.4.3.16'])]"
1KNW,2.1,X-RAY DIFFRACTION,,"['SO4', 'LI', 'PLP', 'MES']",{'A': ['P00861']},['A'],,P 61 2 2,19-DEC-01,"[('A', ['4.1.1.20'])]"
1KO0,2.2,X-RAY DIFFRACTION,,"['PLP', 'LYS', 'DLY']",{'A': ['P00861']},['A'],,P 61 2 2,19-DEC-01,"[('A', ['4.1.1.20'])]"
1KO1,2.09,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00215-2,['CL'],"{'A': ['P46859'], 'B': ['P46859']}","['A', 'B']",12054802,C 1 2 1,20-DEC-01,"[('A', ['2.7.1.12']), ('B', ['2.7.1.12'])]"
1KO4,2.5,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00215-2,"['CL', 'MSE']","{'A': ['P46859'], 'B': ['P46859']}","['A', 'B']",12054802,P 21 21 2,20-DEC-01,"[('A', ['2.7.1.12']), ('B', ['2.7.1.12'])]"
1KO5,2.28,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00215-2,"['MG', 'ATP']","{'A': ['P46859'], 'B': ['P46859']}","['A', 'B']",12054802,P 1 21 1,20-DEC-01,"[('A', ['2.7.1.12']), ('B', ['2.7.1.12'])]"
1KO8,2.4,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00215-2,"['6PG', 'MG']","{'A': ['P46859'], 'B': ['P46859']}","['A', 'B']",12054802,P 1 21 1,20-DEC-01,"[('A', ['2.7.1.12']), ('B', ['2.7.1.12'])]"
1KOF,2.8,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00215-2,"['MG', 'ACP']","{'A': ['P46859'], 'B': ['P46859']}","['A', 'B']",12054802,P 1 21 1,20-DEC-01,"[('A', ['2.7.1.12']), ('B', ['2.7.1.12'])]"
1KOG,3.5,X-RAY DIFFRACTION,,"['TSB', 'ZN']","{'A': ['P0A8M3'], 'C': ['P0A8M3'], 'B': ['P0A8M3'], 'E': ['P0A8M3'], 'D': ['P0A8M3'], 'G': ['P0A8M3'], 'F': ['P0A8M3'], 'I': ['PDB-I'], 'H': ['P0A8M3'], 'K': ['PDB-K'], 'J': ['PDB-J'], 'M': ['PDB-M'], 'L': ['PDB-L'], 'O': ['PDB-O'], 'N': ['PDB-N'], 'P': ['PDB-P']}","['C', 'A', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'K', 'J', 'M', 'L', 'O', 'N', 'P']",11953757,P 1 2 1,20-DEC-01,"[('C', ['6.1.1.3']), ('A', ['6.1.1.3']), ('B', ['6.1.1.3']), ('E', ['6.1.1.3']), ('D', ['6.1.1.3']), ('G', ['6.1.1.3']), ('F', ['6.1.1.3']), ('H', ['6.1.1.3'])]"
1KP2,2.0,X-RAY DIFFRACTION,10.1074/JBC.M112436200,"['ATP', 'GAI', 'PO4']",{'A': ['P0A6E4']},['A'],11809762,I 2 2 2,27-DEC-01,"[('A', ['6.3.4.5'])]"
1KP3,2.0,X-RAY DIFFRACTION,10.1074/JBC.M112436200,"['ATP', 'CIR', 'GAI', 'PO4']",{'A': ['P0A6E4']},['A'],11809762,I 2 2 2,27-DEC-01,"[('A', ['6.3.4.5'])]"
1KPK,3.5,X-RAY DIFFRACTION,10.1038/415287A,,"{'A': ['P37019'], 'C': ['P37019'], 'B': ['P37019'], 'E': ['P37019'], 'D': ['P37019'], 'F': ['P37019']}","['A', 'C', 'B', 'F', 'D', 'E']",11796999,P 21 21 21,31-DEC-01,
1KQ7,2.6,X-RAY DIFFRACTION,10.1110/PS.0201502,"['CIT', 'MLT']","{'A': ['P05042'], 'B': ['P05042']}","['A', 'B']",12021453,C 2 2 21,04-JAN-02,"[('A', ['4.2.1.2']), ('B', ['4.2.1.2'])]"
1KQF,1.6,X-RAY DIFFRACTION,10.1126/SCIENCE.1068186,"['SF4', '6MO', 'HEM', 'MGD', 'CDL']","{'A': ['P24183'], 'C': ['P0AEK7'], 'B': ['P0AAJ3']}","['A', 'C', 'B']",11884747,P 21 3,05-JAN-02,"[('A', ['1.2.1.2']), ('C', ['1.2.1.2']), ('B', ['1.2.1.2'])]"
1KQG,2.8,X-RAY DIFFRACTION,10.1126/SCIENCE.1068186,"['SF4', 'HQO', '6MO', 'HEM', 'MGD', 'CDL']","{'A': ['P24183'], 'C': ['P0AEK7'], 'B': ['P0AAJ3']}","['A', 'C', 'B']",11884747,P 21 3,05-JAN-02,"[('A', ['1.2.1.2']), ('C', ['1.2.1.2']), ('B', ['1.2.1.2'])]"
1KRS,,SOLUTION NMR,10.1006/JMBI.1995.0539,,{'A': ['P0A8N3']},['A'],7473706,,09-JUN-95,"[('A', ['6.1.1.6'])]"
1KRT,,SOLUTION NMR,10.1006/JMBI.1995.0539,,{'A': ['P0A8N3']},['A'],7473706,,09-JUN-95,"[('A', ['6.1.1.6'])]"
1KS2,1.5,X-RAY DIFFRACTION,10.1016/S0969-2126(02)00933-4,['MSE'],"{'A': ['P0A7Z0'], 'B': ['P0A7Z0']}","['A', 'B']",12517338,P 1,10-JAN-02,
1KS9,1.7,X-RAY DIFFRACTION,10.1021/BI011020W,,{'A': ['P0A9J4']},['A'],11724562,P 42 21 2,11-JAN-02,"[('A', ['1.1.1.169'])]"
1KSZ,2.8,X-RAY DIFFRACTION,10.1074/JBC.272.24.15200,"['GDP', 'MG', 'HDA', 'PGS']",{'A': ['P0A7D4']},['A'],9182542,P 32 2 1,14-JAN-97,"[('A', ['6.3.4.4'])]"
1KTN,1.4,X-RAY DIFFRACTION,,,"{'A': ['P0A6L0'], 'B': ['P0A6L0']}","['A', 'B']",,P 1 21 1,16-JAN-02,"[('A', ['4.1.2.4']), ('B', ['4.1.2.4'])]"
1KV7,1.4,X-RAY DIFFRACTION,10.1073/PNAS.052710499,"['C2O', 'CU']",{'A': ['P36649']},['A'],11867755,P 1 21 1,25-JAN-02,
1KV8,1.62,X-RAY DIFFRACTION,10.1021/BI012174E,"['MG', 'PO4']","{'A': ['P39304'], 'B': ['P39304']}","['A', 'B']",11900527,C 1 2 1,25-JAN-02,"[('A', ['4.1.2.-']), ('B', ['4.1.2.-'])]"
1KVQ,2.15,X-RAY DIFFRACTION,10.1021/BI9704313,"['NAD', 'EDO', 'UPG', 'NA']",{'A': ['P09147']},['A'],9271499,P 32 2 1,07-MAR-97,"[('A', ['5.1.3.2'])]"
1KVR,1.9,X-RAY DIFFRACTION,10.1021/BI9704313,"['UDP', 'PEG', 'NAD', 'EDO', 'NA']",{'A': ['P09147']},['A'],9271499,P 32 2 1,07-MAR-97,"[('A', ['5.1.3.2'])]"
1KVS,2.15,X-RAY DIFFRACTION,10.1021/BI9704313,"['NAD', 'PEG', 'UPG', 'NA']",{'A': ['P09147']},['A'],9271499,P 32 2 1,07-MAR-97,"[('A', ['5.1.3.2'])]"
1KVT,2.15,X-RAY DIFFRACTION,10.1021/BI9704313,"['NAD', 'PEG', 'UPG', 'NA']",{'A': ['P09147']},['A'],9271499,P 32 2 1,07-MAR-97,"[('A', ['5.1.3.2'])]"
1KVU,1.9,X-RAY DIFFRACTION,10.1021/BI970430A,"['NAD', 'PEG', 'EDO', 'UPG', 'NA']",{'A': ['P09147']},['A'],9271498,P 32 2 1,07-MAR-97,"[('A', ['5.1.3.2'])]"
1KW1,2.2,X-RAY DIFFRACTION,10.1021/BI012174E,"['MG', 'LG6']","{'A': ['P39304'], 'B': ['P39304']}","['A', 'B']",11900527,C 1 2 1,28-JAN-02,"[('A', ['4.1.2.-']), ('B', ['4.1.2.-'])]"
1KZI,1.75,X-RAY DIFFRACTION,10.1021/BI012108C,"['UMP', 'DTU', 'DTT', 'GOL', 'THG', 'CO3', 'CXM']","{'A': ['P0A884'], 'B': ['P0A884']}","['A', 'B']",12033935,P 63,06-FEB-02,"[('A', ['2.1.1.45']), ('B', ['2.1.1.45'])]"
1KZJ,2.6,X-RAY DIFFRACTION,10.1021/BI012108C,"['UMP', 'CB3', 'CXM']","{'A': ['P0A884'], 'C': ['P0A884'], 'B': ['P0A884'], 'E': ['P0A884'], 'D': ['P0A884'], 'F': ['P0A884']}","['A', 'C', 'B', 'E', 'D', 'F']",12033935,P 1 21 1,06-FEB-02,"[('A', ['2.1.1.45']), ('C', ['2.1.1.45']), ('B', ['2.1.1.45']), ('E', ['2.1.1.45']), ('D', ['2.1.1.45']), ('F', ['2.1.1.45'])]"
1L0H,2.0,X-RAY DIFFRACTION,10.1016/S0969-2126(02)00775-X,['ZN'],{'A': ['P0A6A8']},['A'],12057197,P 63,11-FEB-02,
1L0I,1.2,X-RAY DIFFRACTION,10.1016/S0969-2126(02)00775-X,"['ZN', 'PSR', 'CAC', 'NA']",{'A': ['P0A6A8']},['A'],12057197,P 21 21 21,11-FEB-02,
1L0V,3.3,X-RAY DIFFRACTION,10.1074/JBC.M200815200,"['OAA', 'SF4', 'F3S', 'MQ7', 'FAD', 'CE1', 'FES']","{'A': ['P00363'], 'C': ['P0A8Q0'], 'B': ['P0AC47'], 'D': ['P0A8Q3'], 'M': ['P00363'], 'O': ['P0A8Q0'], 'N': ['P0AC47'], 'P': ['P0A8Q3']}","['D', 'A', 'C', 'B', 'M', 'O', 'N', 'P']",11850430,P 21 21 21,13-FEB-02,"[('A', ['1.3.99.1']), ('B', ['1.3.99.1']), ('M', ['1.3.99.1']), ('N', ['1.3.99.1'])]"
1L2P,1.55,X-RAY DIFFRACTION,10.1021/BI025736I,,{'A': ['P0ABA0']},['A'],12022893,P 21 21 2,22-FEB-02,"[('A', ['3.6.3.34'])]"
1L2U,2.5,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00200-0,,"{'A': ['P08244'], 'B': ['P08244']}","['A', 'B']",12054799,P 32 2 1,25-FEB-02,"[('A', ['4.1.1.23']), ('B', ['4.1.1.23'])]"
1L5J,2.4,X-RAY DIFFRACTION,10.1038/NSB801,"['TRA', 'F3S']","{'A': ['P36683'], 'B': ['P36683']}","['A', 'B']",11992126,P 21 21 2,07-MAR-02,"[('A', ['4.2.1.3']), ('B', ['4.2.1.3'])]"
1L5V,2.0,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00771-4,"['PLP', 'G1P', 'TRS']","{'A': ['P00490'], 'B': ['P00490']}","['A', 'B']",12217700,P 21 21 21,08-MAR-02,"[('A', ['2.4.1.1']), ('B', ['2.4.1.1'])]"
1L5W,1.8,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00771-4,"['PLP', 'GLC', 'PO4']","{'A': ['P00490'], 'B': ['P00490']}","['A', 'B']",12217700,P 21 21 21,08-MAR-02,"[('A', ['2.4.1.1']), ('B', ['2.4.1.1'])]"
1L6I,2.2,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00771-4,"['PLP', 'GLC', 'PO4']","{'A': ['P00490'], 'B': ['P00490']}","['A', 'B']",12217700,P 21 21 21,11-MAR-02,"[('A', ['2.4.1.1']), ('B', ['2.4.1.1'])]"
1L6P,1.65,X-RAY DIFFRACTION,10.1021/BI016038L,,{'A': ['P36655']},['A'],12033924,C 2 2 21,12-MAR-02,
1L6S,1.7,X-RAY DIFFRACTION,10.1074/JBC.M201486200,"['MG', 'ZN', 'DSB', 'CME']","{'A': ['P0ACB2'], 'B': ['P0ACB2']}","['A', 'B']",11909869,P 4 21 2,13-MAR-02,"[('A', ['4.2.1.24']), ('B', ['4.2.1.24'])]"
1L6T,,SOLUTION NMR,10.1021/BI012198L,,{'A': ['P68699']},['A'],11969414,,13-MAR-02,"[('A', ['3.6.3.34'])]"
1L6W,1.93,X-RAY DIFFRACTION,10.1016/S0022-2836(02)00258-9,['GOL'],"{'A': ['P78055'], 'C': ['P78055'], 'B': ['P78055'], 'E': ['P78055'], 'D': ['P78055'], 'G': ['P78055'], 'F': ['P78055'], 'I': ['P78055'], 'H': ['P78055'], 'J': ['P78055']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'J']",12051943,P 21 21 21,14-MAR-02,"[('A', ['4.1.2.-']), ('C', ['4.1.2.-']), ('B', ['4.1.2.-']), ('E', ['4.1.2.-']), ('D', ['4.1.2.-']), ('G', ['4.1.2.-']), ('F', ['4.1.2.-']), ('I', ['4.1.2.-']), ('H', ['4.1.2.-']), ('J', ['4.1.2.-'])]"
1L6Y,1.9,X-RAY DIFFRACTION,10.1074/JBC.M201486200,"['CME', 'GOL', 'ZN', 'MG', '4OX']","{'A': ['P0ACB2'], 'B': ['P0ACB2']}","['A', 'B']",11909869,P 4 21 2,14-MAR-02,"[('A', ['4.2.1.24']), ('B', ['4.2.1.24'])]"
1L7V,3.2,X-RAY DIFFRACTION,10.1126/SCIENCE.1071142,"['V4O', 'MSE']","{'A': ['P06609'], 'C': ['P06611'], 'B': ['P06609'], 'D': ['P06611']}","['A', 'C', 'B', 'D']",12004122,P 1 21 1,18-MAR-02,"[('C', ['3.6.3.33']), ('D', ['3.6.3.33'])]"
1L8A,1.85,X-RAY DIFFRACTION,10.1021/BI0118557,"['MG', 'TDP']","{'A': ['P0AFG8'], 'B': ['P0AFG8']}","['A', 'B']",11955070,P 1 21 1,19-MAR-02,"[('A', ['1.2.4.1']), ('B', ['1.2.4.1'])]"
1LAX,1.85,X-RAY DIFFRACTION,10.1110/PS.0235103,['GLC'],"{'A': ['P0AEX9'], 'C': ['P0AEX9']}","['A', 'C']",12592028,P 1 21 1,29-MAR-02,
1LDA,2.8,X-RAY DIFFRACTION,10.1126/SCIENCE.1067778,['BOG'],{'A': ['P0AER0']},['A'],11964478,I 4 2 2,08-APR-02,
1LDF,2.1,X-RAY DIFFRACTION,10.1126/SCIENCE.1067778,"['GOL', 'MG', 'BOG']",{'A': ['P0AER0']},['A'],11964478,I 4 2 2,08-APR-02,
